Date, Open, High, Low, Close, Volume
11/22/23, 16.83, 17.25, 16.64, 17.16, 2403631
11/21/23, 16.56, 16.75, 15.97, 16.42, 1956563
11/20/23, 16.29, 16.98, 16.25, 16.91, 2072309
11/17/23, 15.97, 16.03, 15.20, 15.98, 2131631
11/16/23, 16.66, 16.73, 16.03, 16.10, 2261995
11/15/23, 16.46, 16.95, 16.18, 16.80, 2410772
11/14/23, 17.38, 17.44, 15.56, 16.10, 4249503
11/13/23, 17.22, 17.73, 16.93, 17.45, 2973945
11/10/23, 16.77, 17.47, 16.63, 17.22, 4478707
11/09/23, 15.22, 16.40, 14.91, 16.32, 5342876
11/08/23, 14.65, 14.83, 14.39, 14.79, 1369847
11/07/23, 14.45, 14.90, 14.02, 14.83, 1410299
11/06/23, 14.23, 14.49, 14.20, 14.45, 1886844
11/03/23, 13.83, 14.05, 13.63, 13.73, 1606178
11/02/23, 14.17, 14.24, 13.71, 14.00, 1868028
11/01/23, 13.95, 14.20, 13.73, 14.20, 2170360
10/31/23, 13.70, 13.94, 13.46, 13.86, 1553600
10/30/23, 13.20, 14.06, 13.00, 13.57, 3093573
10/27/23, 13.07, 13.40, 12.66, 12.71, 1975506
10/26/23, 13.91, 14.02, 12.62, 13.02, 2600832
10/25/23, 13.50, 14.08, 13.43, 13.81, 3188380
10/24/23, 13.27, 13.87, 12.95, 13.31, 10145590
10/23/23, 12.29, 12.55, 12.20, 12.43, 4187938
10/20/23, 11.90, 12.17, 11.81, 11.99, 2754456
10/19/23, 11.51, 11.80, 11.48, 11.74, 1476131
10/18/23, 11.47, 11.76, 11.45, 11.56, 2034903
10/17/23, 11.51, 11.55, 11.26, 11.46, 1364425
10/16/23, 11.65, 12.10, 11.26, 11.64, 2614604
10/13/23, 10.98, 11.10, 10.94, 11.05, 1383254
10/12/23, 10.88, 10.92, 10.79, 10.88, 1110175
10/11/23, 10.98, 11.01, 10.75, 11.00, 1963085
10/10/23, 11.01, 11.05, 10.88, 10.99, 2111552
10/09/23, 10.94, 11.09, 10.81, 11.01, 1452623
10/06/23, 10.93, 11.35, 10.91, 11.32, 1041195
10/05/23, 10.70, 11.00, 10.68, 10.92, 1389966
10/04/23, 10.82, 10.86, 10.50, 10.71, 1249092
10/03/23, 11.01, 11.10, 10.81, 10.89, 999988
10/02/23, 11.48, 11.84, 10.83, 11.10, 2524372
09/29/23, 11.01, 11.24, 10.95, 11.06, 1600940
09/28/23, 10.28, 11.34, 10.21, 10.84, 3128441
09/27/23, 10.45, 10.57, 10.12, 10.15, 861593
09/26/23, 10.52, 10.53, 10.21, 10.31, 1360687
09/25/23, 10.76, 10.76, 10.52, 10.53, 1077416
09/22/23, 10.88, 10.99, 10.88, 10.97, 412085
09/21/23, 11.10, 11.11, 10.80, 10.90, 1080166
09/20/23, 11.54, 11.62, 11.18, 11.29, 901585
09/19/23, 11.64, 11.71, 11.55, 11.69, 698459
09/18/23, 12.01, 12.05, 11.50, 11.54, 1571136
09/15/23, 11.61, 11.66, 11.40, 11.66, 1338703
09/14/23, 11.22, 11.66, 11.19, 11.62, 1322716
09/13/23, 11.29, 11.43, 11.05, 11.05, 756894
09/12/23, 11.28, 11.40, 11.01, 11.30, 1304342
09/11/23, 11.63, 11.70, 10.88, 10.99, 1825456
09/08/23, 11.53, 11.95, 11.36, 11.85, 1904620
09/07/23, 11.01, 11.59, 10.92, 11.56, 1510514
09/06/23, 10.78, 11.35, 10.68, 11.00, 1410149
